HCPCS,Description,Category,Modifier,Average Cost
L0623,Sio rig pnl pelv/sac pre ots,Prosthetics & Orthotic,,  $-   
L0624,Sio panel custom,Prosthetics & Orthotic,,  $-   
L0625,Lo flex l1-below l5 pre ots,Prosthetics & Orthotic,, $53.21 
L0626,Lo sag rig pnl stays pre cst,Prosthetics & Orthotic,, $75.29 
L0627,Lo sag ri an/pos pnl pre cst,Prosthetics & Orthotic,, $397.06 
L0628,Lso flex no ri stays pre ots,Prosthetics & Orthotic,, $81.03 
L0629,Lso flex w/rigid stays cust,Prosthetics & Orthotic,,  $-   
L0630,Lso r post pnl sj-t9 pre cst,Prosthetics & Orthotic,, $156.43 
L0631,Lso sag r an/pos pnl pre cst,Prosthetics & Orthotic,, $991.62 
L0632,Lso sag rigid frame cust,Prosthetics & Orthotic,,  $-   
L0633,Lso sc r pos/lat pnl pre cst,Prosthetics & Orthotic,, $276.99 
L0634,Lso flexion control custom,Prosthetics & Orthotic,,  $-   
L0635,Lso sagit rigid panel prefab,Prosthetics & Orthotic,, $983.90 
L0636,Lso sagittal rigid panel cus,Prosthetics & Orthotic,," $1,452.28 "
L0637,Lso sc r ant/pos pnl pre cst,Prosthetics & Orthotic,," $1,147.36 "
L0638,Lso sag-coronal panel custom,Prosthetics & Orthotic,," $1,273.71 "
L0639,Lso s/c shell/panel prefab,Prosthetics & Orthotic,," $1,147.36 "
L0640,Lso s/c shell/panel custom,Prosthetics & Orthotic,," $1,010.54 "
L0641,Lo rig pos pnl l1-l5 pre ots,Prosthetics & Orthotic,, $75.29 
L0642,Lo sag ri an/pos pnl pre ots,Prosthetics & Orthotic,, $397.06 
L0643,Lso sag ctr rigi pos pre ots,Prosthetics & Orthotic,, $156.43 
L0648,Lso sag r an/pos pnl pre ots,Prosthetics & Orthotic,, $991.62 
L0649,Lso sc r pos/lat pnl pre ots,Prosthetics & Orthotic,, $276.99 
L0650,Lso sc r ant/pos pnl pre ots,Prosthetics & Orthotic,," $1,147.36 "
L0651,Lso sag-co shell pnl pre ots,Prosthetics & Orthotic,," $1,147.36 "
L0700,Ctlso a-p-l control molded,Prosthetics & Orthotic,," $2,015.92 "
L0710,Ctlso a-p-l control w/ inter,Prosthetics & Orthotic,," $2,132.40 "
L0810,Halo cervical into jckt vest,Prosthetics & Orthotic,," $2,605.60 "
L0820,Halo cervical into body jack,Prosthetics & Orthotic,," $2,162.36 "
L0830,Halo cerv into milwaukee typ,Prosthetics & Orthotic,," $3,185.24 "
L0859,Mri compatible system,Prosthetics & Orthotic,," $1,203.42 "
L0861,Halo repl liner/interface,Prosthetics & Orthotic,, $208.15 
L0970,Tlso corset front,Prosthetics & Orthotic,, $116.27 
L0972,Lso corset front,Prosthetics & Orthotic,, $104.72 
L0974,Tlso full corset,Prosthetics & Orthotic,, $182.95 
L0976,Lso full corset,Prosthetics & Orthotic,, $163.03 
L0978,Axillary crutch extension,Prosthetics & Orthotic,, $198.94 
L0980,Peroneal straps pair pre ots,Prosthetics & Orthotic,, $17.52 
L0982,Stocking sup grips 4 pre ots,Prosthetics & Orthotic,, $16.52 
L0984,Protect body sock ea pre ots,Prosthetics & Orthotic,, $60.90 
L1000,Ctlso milwauke initial model,Prosthetics & Orthotic,," $2,081.07 "
L1001,Ctlso infant immobilizer,Prosthetics & Orthotic,,  $-   
L1005,Tension based scoliosis orth,Prosthetics & Orthotic,," $3,090.95 "
L1010,Ctlso axilla sling,Prosthetics & Orthotic,, $67.98 
L1020,Kyphosis pad,Prosthetics & Orthotic,, $91.00 
L1025,Kyphosis pad floating,Prosthetics & Orthotic,, $130.36 
L1030,Lumbar bolster pad,Prosthetics & Orthotic,, $64.94 
L1040,Lumbar or lumbar rib pad,Prosthetics & Orthotic,, $81.16 
L1050,Sternal pad,Prosthetics & Orthotic,, $85.54 
L1060,Thoracic pad,Prosthetics & Orthotic,, $97.02 
L1070,Trapezius sling,Prosthetics & Orthotic,, $92.96 
L1080,Outrigger,Prosthetics & Orthotic,, $56.31 
L1085,Outrigger bil w/ vert extens,Prosthetics & Orthotic,, $159.85 
L1090,Lumbar sling,Prosthetics & Orthotic,, $92.93 
L1100,Ring flange plastic/leather,Prosthetics & Orthotic,, $163.40 
L1110,Ring flange plas/leather mol,Prosthetics & Orthotic,, $263.89 
L1120,Covers for upright each,Prosthetics & Orthotic,, $40.82 
L1200,Furnsh initial orthosis only,Prosthetics & Orthotic,," $1,679.73 "
L1210,Lateral thoracic extension,Prosthetics & Orthotic,, $264.94 
L1220,Anterior thoracic extension,Prosthetics & Orthotic,, $231.87 
L1230,Milwaukee type superstructur,Prosthetics & Orthotic,, $583.86 
L1240,Lumbar derotation pad,Prosthetics & Orthotic,, $80.55 
L1250,Anterior asis pad,Prosthetics & Orthotic,, $74.79 
L1260,Anterior thoracic derotation,Prosthetics & Orthotic,, $78.76 
L1270,Abdominal pad,Prosthetics & Orthotic,, $79.72 
L1280,Rib gusset (elastic) each,Prosthetics & Orthotic,, $87.89 
L1290,Lateral trochanteric pad,Prosthetics & Orthotic,, $80.91 
L1300,Body jacket mold to patient,Prosthetics & Orthotic,," $1,735.62 "
L1310,Post-operative body jacket,Prosthetics & Orthotic,," $1,767.63 "
L1600,Ho flex frejka w/cov pre cst,Prosthetics & Orthotic,, $130.43 
L1610,Ho frejka cov only pre cst,Prosthetics & Orthotic,, $45.31 
L1620,Ho flex pavlik harns pre cst,Prosthetics & Orthotic,, $136.21 
L1630,Abduct control hip semi-flex,Prosthetics & Orthotic,, $168.77 
L1640,Pelv band/spread bar thigh c,Prosthetics & Orthotic,, $478.11 
L1650,Ho abduction hip adjustable,Prosthetics & Orthotic,, $233.04 
L1652,Ho bi thighcuffs w sprdr bar,Prosthetics & Orthotic,, $344.25 
L1660,Ho abduction static plastic,Prosthetics & Orthotic,, $166.80 
L1680,Pelvic & hip control thigh c,Prosthetics & Orthotic,," $1,261.87 "
L1685,Post-op hip abduct custom fa,Prosthetics & Orthotic,," $1,228.58 "
L1686,Ho post-op hip abduction,Prosthetics & Orthotic,, $951.94 
L1690,Combination bilateral ho,Prosthetics & Orthotic,," $1,874.38 "
L1700,Leg perthes orth toronto typ,Prosthetics & Orthotic,," $1,573.39 "
L1710,Legg perthes orth newington,Prosthetics & Orthotic,," $1,874.26 "
L1720,Legg perthes orthosis trilat,Prosthetics & Orthotic,," $1,352.93 "
L1730,Legg perthes orth scottish r,Prosthetics & Orthotic,," $1,156.38 "
L1755,Legg perthes patten bottom t,Prosthetics & Orthotic,," $1,612.90 "
L1810,Ko elastic with joints,Prosthetics & Orthotic,, $101.14 
L1812,Ko elastic w/joints pre ots,Prosthetics & Orthotic,, $101.14 
L1820,Ko elas w/ condyle pads & jo,Prosthetics & Orthotic,, $131.96 
L1830,Ko immob canvas long pre ots,Prosthetics & Orthotic,, $91.13 
L1831,Knee orth pos locking joint,Prosthetics & Orthotic,, $284.22 
L1832,Ko adj jnt pos r sup pre cst,Prosthetics & Orthotic,, $656.49 
L1833,Ko adj jnt pos r sup pre ots,Prosthetics & Orthotic,, $656.49 
L1834,Ko w/0 joint rigid molded to,Prosthetics & Orthotic,, $802.31 
L1836,Ko rigid w/o joints pre ots,Prosthetics & Orthotic,, $128.86 
L1840,Ko derot ant cruciate custom,Prosthetics & Orthotic,, $942.59 
L1843,Ko single upright pre cst,Prosthetics & Orthotic,, $866.52 
L1844,Ko w/adj jt rot cntrl molded,Prosthetics & Orthotic,," $1,602.40 "
L1845,Ko double upright pre cst,Prosthetics & Orthotic,, $826.65 
L1846,Ko w adj flex/ext rotat mold,Prosthetics & Orthotic,," $1,144.33 "
L1847,Ko dbl upright w/air pre cst,Prosthetics & Orthotic,, $557.52 
L1848,Ko dbl upright w/air pre ots,Prosthetics & Orthotic,, $557.52 
L1850,Ko swedish type pre ots,Prosthetics & Orthotic,, $296.80 
L1851,Ko single upright prefab ots,Prosthetics & Orthotic,, $866.52 
L1852,Ko double upright prefab ots,Prosthetics & Orthotic,, $826.65 
L1860,Ko supracondylar socket mold,Prosthetics & Orthotic,," $1,103.52 "
L1900,Afo sprng wir drsflx calf bd,Prosthetics & Orthotic,, $273.02 
L1902,Afo ankle gauntlet pre ots,Prosthetics & Orthotic,, $81.28 
L1904,Afo molded ankle gauntlet,Prosthetics & Orthotic,, $475.67 
L1906,Afo multilig ank sup pre ots,Prosthetics & Orthotic,, $124.34 
L1907,Afo supramalleolar custom,Prosthetics & Orthotic,, $543.40 
L1910,Afo sing bar clasp attach sh,Prosthetics & Orthotic,, $276.67 
L1920,Afo sing upright w/ adjust s,Prosthetics & Orthotic,, $360.63 
L1930,Afo plastic,Prosthetics & Orthotic,, $244.06 
L1932,Afo rig ant tib prefab tcf/=,Prosthetics & Orthotic,, $861.77 
L1940,Afo molded to patient plasti,Prosthetics & Orthotic,, $517.17 
L1945,Afo molded plas rig ant tib,Prosthetics & Orthotic,, $968.67 
L1950,Afo spiral molded to pt plas,Prosthetics & Orthotic,, $774.78 
L1951,Afo spiral prefabricated,Prosthetics & Orthotic,, $811.04 
L1960,Afo pos solid ank plastic mo,Prosthetics & Orthotic,, $578.28 
L1970,Afo plastic molded w/ankle j,Prosthetics & Orthotic,, $726.83 
L1971,"Afo w/ankle joint, prefab",Prosthetics & Orthotic,, $452.66 
L1980,Afo sing solid stirrup calf,Prosthetics & Orthotic,, $381.93 
L1990,Afo doub solid stirrup calf,Prosthetics & Orthotic,, $471.32 
L2000,Kafo sing fre stirr thi/calf,Prosthetics & Orthotic,," $1,043.39 "
L2005,Kafo sng/dbl mechanical act,Prosthetics & Orthotic,," $3,958.20 "
L2010,Kafo sng solid stirrup w/o j,Prosthetics & Orthotic,, $964.09 
L2020,Kafo dbl solid stirrup band/,Prosthetics & Orthotic,," $1,206.33 "
L2030,Kafo dbl solid stirrup w/o j,Prosthetics & Orthotic,," $1,045.34 "
L2034,Kafo pla sin up w/wo k/a cus,Prosthetics & Orthotic,," $1,984.65 "
L2035,Kafo plastic pediatric size,Prosthetics & Orthotic,, $168.85 
L2036,Kafo plas doub free knee mol,Prosthetics & Orthotic,," $1,917.57 "
L2037,Kafo plas sing free knee mol,Prosthetics & Orthotic,," $1,709.90 "
L2038,Kafo w/o joint multi-axis an,Prosthetics & Orthotic,," $1,445.83 "
L2040,Hkafo torsion bil rot straps,Prosthetics & Orthotic,, $182.36 
L2050,Hkafo torsion cable hip pelv,Prosthetics & Orthotic,, $490.97 
L2060,Hkafo torsion ball bearing j,Prosthetics & Orthotic,, $592.68 
L2070,Hkafo torsion unilat rot str,Prosthetics & Orthotic,, $137.35 
L2080,Hkafo unilat torsion cable,Prosthetics & Orthotic,, $368.67 
L2090,Hkafo unilat torsion ball br,Prosthetics & Orthotic,, $450.87 
L2106,Afo tib fx cast plaster mold,Prosthetics & Orthotic,, $714.04 
L2108,Afo tib fx cast molded to pt,Prosthetics & Orthotic,," $1,092.10 "
L2112,Afo tibial fracture soft,Prosthetics & Orthotic,, $482.45 
L2114,Afo tib fx semi-rigid,Prosthetics & Orthotic,, $605.68 
L2116,Afo tibial fracture rigid,Prosthetics & Orthotic,, $740.74 
L2126,Kafo fem fx cast thermoplas,Prosthetics & Orthotic,," $1,222.48 "
L2128,Kafo fem fx cast molded to p,Prosthetics & Orthotic,," $1,719.00 "
L2132,Kafo femoral fx cast soft,Prosthetics & Orthotic,, $839.53 
L2134,Kafo fem fx cast semi-rigid,Prosthetics & Orthotic,," $1,012.99 "
L2136,Kafo femoral fx cast rigid,Prosthetics & Orthotic,," $1,228.09 "
L2180,Plas shoe insert w ank joint,Prosthetics & Orthotic,, $122.08 
L2182,Drop lock knee,Prosthetics & Orthotic,, $95.47 
L2184,Limited motion knee joint,Prosthetics & Orthotic,, $121.15 
L2186,Adj motion knee jnt lerman t,Prosthetics & Orthotic,, $151.26 
L2188,Quadrilateral brim,Prosthetics & Orthotic,, $300.14 
L2190,Waist belt,Prosthetics & Orthotic,, $86.72 
L2192,Pelvic band & belt thigh fla,Prosthetics & Orthotic,, $365.96 
L2200,Limited ankle motion ea jnt,Prosthetics & Orthotic,, $50.87 
L2210,Dorsiflexion assist each joi,Prosthetics & Orthotic,, $68.74 
L2220,Dorsi & plantar flex ass/res,Prosthetics & Orthotic,, $84.43 
L2230,Split flat caliper stirr & p,Prosthetics & Orthotic,, $78.87 
L2232,"Rocker bottom, contact afo",Prosthetics & Orthotic,, $94.28 
L2240,Round caliper and plate atta,Prosthetics & Orthotic,, $85.10 
L2250,Foot plate molded stirrup at,Prosthetics & Orthotic,, $363.89 
L2260,Reinforced solid stirrup,Prosthetics & Orthotic,, $217.25 
L2265,Long tongue stirrup,Prosthetics & Orthotic,, $125.64 
L2270,Varus/valgus strap padded/li,Prosthetics & Orthotic,, $56.95 
L2275,Plastic mod low ext pad/line,Prosthetics & Orthotic,, $128.16 
L2280,Molded inner boot,Prosthetics & Orthotic,, $458.83 
L2300,Abduction bar jointed adjust,Prosthetics & Orthotic,, $273.31 
L2310,Abduction bar-straight,Prosthetics & Orthotic,, $126.92 
L2320,Non-molded lacer,Prosthetics & Orthotic,, $211.14 
L2330,Lacer molded to patient mode,Prosthetics & Orthotic,, $402.24 
L2335,Anterior swing band,Prosthetics & Orthotic,, $240.87 
L2340,Pre-tibial shell molded to p,Prosthetics & Orthotic,, $464.36 
L2350,Prosthetic type socket molde,Prosthetics & Orthotic,, $928.58 
L2360,Extended steel shank,Prosthetics & Orthotic,, $53.42 
L2370,Patten bottom,Prosthetics & Orthotic,, $282.61 
L2375,Torsion ank & half solid sti,Prosthetics & Orthotic,, $115.40 
L2380,Torsion straight knee joint,Prosthetics & Orthotic,, $126.52 
L2385,Straight knee joint heavy du,Prosthetics & Orthotic,, $138.48 
L2387,Add le poly knee custom kafo,Prosthetics & Orthotic,, $170.77 
L2390,Offset knee joint each,Prosthetics & Orthotic,, $111.45 
L2395,Offset knee joint heavy duty,Prosthetics & Orthotic,, $158.98 
L2397,Suspension sleeve lower ext,Prosthetics & Orthotic,, $113.57 
L2405,Knee joint drop lock ea jnt,Prosthetics & Orthotic,, $84.19 
L2415,Knee joint cam lock each joi,Prosthetics & Orthotic,, $117.31 
L2425,Knee disc/dial lock/adj flex,Prosthetics & Orthotic,, $138.43 
L2430,Knee jnt ratchet lock ea jnt,Prosthetics & Orthotic,, $138.43 
L2492,Knee lift loop drop lock rin,Prosthetics & Orthotic,, $106.49 
L2500,Thi/glut/ischia wgt bearing,Prosthetics & Orthotic,, $314.59 
L2510,Th/wght bear quad-lat brim m,Prosthetics & Orthotic,, $754.04 
L2520,Th/wght bear quad-lat brim c,Prosthetics & Orthotic,, $480.58 
L2525,Th/wght bear nar m-l brim mo,Prosthetics & Orthotic,," $1,273.85 "
L2526,Th/wght bear nar m-l brim cu,Prosthetics & Orthotic,, $740.09 
L2530,Thigh/wght bear lacer non-mo,Prosthetics & Orthotic,, $245.83 
L2540,Thigh/wght bear lacer molded,Prosthetics & Orthotic,, $438.04 
L2550,Thigh/wght bear high roll cu,Prosthetics & Orthotic,, $292.71 
L2570,Hip clevis type 2 posit jnt,Prosthetics & Orthotic,, $499.37 
L2580,Pelvic control pelvic sling,Prosthetics & Orthotic,, $487.51 
L2600,Hip clevis/thrust bearing fr,Prosthetics & Orthotic,, $212.81 
L2610,Hip clevis/thrust bearing lo,Prosthetics & Orthotic,, $247.08 
L2620,Pelvic control hip heavy dut,Prosthetics & Orthotic,, $281.12 
L2622,Hip joint adjustable flexion,Prosthetics & Orthotic,, $318.19 
L2624,Hip adj flex ext abduct cont,Prosthetics & Orthotic,, $346.24 
L2627,Plastic mold recipro hip & c,Prosthetics & Orthotic,," $1,750.39 "
L2628,Metal frame recipro hip & ca,Prosthetics & Orthotic,," $1,723.60 "
L2630,Pelvic control band & belt u,Prosthetics & Orthotic,, $263.50 
L2640,Pelvic control band & belt b,Prosthetics & Orthotic,, $357.61 
L2650,Pelv & thor control gluteal,Prosthetics & Orthotic,, $120.75 
L2660,Thoracic control thoracic ba,Prosthetics & Orthotic,, $189.42 
L2670,Thorac cont paraspinal uprig,Prosthetics & Orthotic,, $170.36 
L2680,Thorac cont lat support upri,Prosthetics & Orthotic,, $157.31 
L2750,Plating chrome/nickel pr bar,Prosthetics & Orthotic,, $82.08 
L2755,Carbon graphite lamination,Prosthetics & Orthotic,, $126.39 
L2760,Extension per extension per,Prosthetics & Orthotic,, $62.98 
L2768,Ortho sidebar disconnect,Prosthetics & Orthotic,, $125.82 
L2780,Non-corrosive finish,Prosthetics & Orthotic,, $68.05 
L2785,Drop lock retainer each,Prosthetics & Orthotic,, $32.81 
L2795,Knee control full kneecap,Prosthetics & Orthotic,, $86.31 
L2800,Knee cap medial or lateral p,Prosthetics & Orthotic,, $109.22 
L2810,Knee control condylar pad,Prosthetics & Orthotic,, $81.55 
L2820,Soft interface below knee se,Prosthetics & Orthotic,, $95.84 
L2830,Soft interface above knee se,Prosthetics & Orthotic,, $102.36 
L2840,Tibial length sock fx or equ,Prosthetics & Orthotic,, $44.54 
L2850,Femoral lgth sock fx or equa,Prosthetics & Orthotic,, $63.36 
L3000,Ft insert ucb berkeley shell,Prosthetics & Orthotic,, $303.37 
L3001,Foot insert remov molded spe,Prosthetics & Orthotic,, $127.73 
L3002,Foot insert plastazote or eq,Prosthetics & Orthotic,, $155.97 
L3003,Foot insert silicone gel eac,Prosthetics & Orthotic,, $168.28 
L3010,Foot longitudinal arch suppo,Prosthetics & Orthotic,, $168.28 
L3020,Foot longitud/metatarsal sup,Prosthetics & Orthotic,, $191.60 
L3030,Foot arch support remov prem,Prosthetics & Orthotic,, $73.70 
L3031,Foot lamin/prepreg composite,Prosthetics & Orthotic,, $118.43 
L3040,Ft arch suprt premold longit,Prosthetics & Orthotic,, $45.45 
L3050,Foot arch supp premold metat,Prosthetics & Orthotic,, $45.45 
L3060,Foot arch supp longitud/meta,Prosthetics & Orthotic,, $71.22 
L3070,Arch suprt att to sho longit,Prosthetics & Orthotic,, $30.69 
L3080,Arch supp att to shoe metata,Prosthetics & Orthotic,, $30.69 
L3090,Arch supp att to shoe long/m,Prosthetics & Orthotic,, $39.30 
L3100,Hallus-valgus nt dyn pre ots,Prosthetics & Orthotic,, $41.75 
L3140,Abduction rotation bar shoe,Prosthetics & Orthotic,, $85.99 
L3150,Abduct rotation bar w/o shoe,Prosthetics & Orthotic,, $78.61 
L3170,Foot plas heel stabi pre ots,Prosthetics & Orthotic,, $49.14 
L3224,Woman's shoe oxford brace,Prosthetics & Orthotic,, $62.38 
L3225,Man's shoe oxford brace,Prosthetics & Orthotic,, $71.63 
L3300,Sho lift taper to metatarsal,Prosthetics & Orthotic,, $50.35 
L3310,Shoe lift elev heel/sole neo,Prosthetics & Orthotic,, $78.61 
L3330,Lifts elevation metal extens,Prosthetics & Orthotic,, $546.54 
L3332,Shoe lifts tapered to one-ha,Prosthetics & Orthotic,, $71.22 
L3334,Shoe lifts elevation heel /i,Prosthetics & Orthotic,, $36.85 
L3340,Shoe wedge sach,Prosthetics & Orthotic,, $82.31 
L3350,Shoe heel wedge,Prosthetics & Orthotic,, $22.10 
L3360,Shoe sole wedge outside sole,Prosthetics & Orthotic,, $34.39 
L3370,Shoe sole wedge between sole,Prosthetics & Orthotic,, $47.89 
L3380,Shoe clubfoot wedge,Prosthetics & Orthotic,, $47.89 
L3390,Shoe outflare wedge,Prosthetics & Orthotic,, $47.89 
L3400,Shoe metatarsal bar wedge ro,Prosthetics & Orthotic,, $39.30 
L3410,Shoe metatarsal bar between,Prosthetics & Orthotic,, $89.66 
L3420,Full sole/heel wedge btween,Prosthetics & Orthotic,, $52.81 
L3430,Sho heel count plast reinfor,Prosthetics & Orthotic,, $154.76 
L3440,Heel leather reinforced,Prosthetics & Orthotic,, $73.70 
L3450,Shoe heel sach cushion type,Prosthetics & Orthotic,, $101.94 
L3455,Shoe heel new leather standa,Prosthetics & Orthotic,, $39.30 
L3460,Shoe heel new rubber standar,Prosthetics & Orthotic,, $33.15 
L3465,Shoe heel thomas with wedge,Prosthetics & Orthotic,, $56.50 
L3470,Shoe heel thomas extend to b,Prosthetics & Orthotic,, $60.18 
L3480,Shoe heel pad & depress for,Prosthetics & Orthotic,, $60.18 
L3500,Ortho shoe add leather insol,Prosthetics & Orthotic,, $28.25 
L3510,Orthopedic shoe add rub insl,Prosthetics & Orthotic,, $28.25 
L3520,O shoe add felt w leath insl,Prosthetics & Orthotic,, $30.69 
L3530,Ortho shoe add half sole,Prosthetics & Orthotic,, $30.69 
L3540,Ortho shoe add full sole,Prosthetics & Orthotic,, $49.14 
L3550,O shoe add standard toe tap,Prosthetics & Orthotic,, $8.60 
L3560,O shoe add horseshoe toe tap,Prosthetics & Orthotic,, $22.10 
L3570,O shoe add instep extension,Prosthetics & Orthotic,, $82.31 
L3580,O shoe add instep velcro clo,Prosthetics & Orthotic,, $62.64 
L3590,O shoe convert to sof counte,Prosthetics & Orthotic,, $51.59 
L3595,Ortho shoe add march bar,Prosthetics & Orthotic,, $40.52 
L3600,Trans shoe calip plate exist,Prosthetics & Orthotic,, $73.70 
L3610,Trans shoe caliper plate new,Prosthetics & Orthotic,, $97.03 
L3620,Trans shoe solid stirrup exi,Prosthetics & Orthotic,, $73.70 
L3630,Trans shoe solid stirrup new,Prosthetics & Orthotic,, $97.03 
L3640,Shoe dennis browne splint bo,Prosthetics & Orthotic,, $41.75 
L3650,So 8 abd restraint pre ots,Prosthetics & Orthotic,, $60.62 
L3660,So 8 ab rstr can/web pre ots,Prosthetics & Orthotic,, $101.39 
L3670,So acro/clav can web pre ots,Prosthetics & Orthotic,, $115.47 
L3671,So cap design w/o jnts cf,Prosthetics & Orthotic,, $791.94 
L3674,So airplane w/wo joint cf,Prosthetics & Orthotic,," $1,038.90 "
L3675,So vest canvas/web pre ots,Prosthetics & Orthotic,, $154.81 
L3702,Eo w/o joints cf,Prosthetics & Orthotic,, $253.79 
L3710,Eo elas w/metal jnts pre ots,Prosthetics & Orthotic,, $123.53 
L3720,Forearm/arm cuffs free motio,Prosthetics & Orthotic,, $653.09 
L3730,Forearm/arm cuffs ext/flex a,Prosthetics & Orthotic,, $911.76 
L3740,Cuffs adj lock w/ active con,Prosthetics & Orthotic,," $1,086.13 "
L3760,Eo adj jt prefab custom fit,Prosthetics & Orthotic,, $441.15 
L3761,"Eo, adj lock joint prefab ot",Prosthetics & Orthotic,, $441.15 
L3762,Eo rigid w/o joints pre ots,Prosthetics & Orthotic,, $94.50 
L3763,Ewho rigid w/o jnts cf,Prosthetics & Orthotic,, $644.26 
L3764,Ewho w/joint(s) cf,Prosthetics & Orthotic,, $735.39 
L3765,Ewhfo rigid w/o jnts cf,Prosthetics & Orthotic,," $1,126.96 "
L3766,Ewhfo w/joint(s) cf,Prosthetics & Orthotic,," $1,193.37 "
L3806,Whfo w/joint(s) custom fab,Prosthetics & Orthotic,, $399.24 
L3807,Whfo w/o joints pre cst,Prosthetics & Orthotic,, $220.58 
L3808,"Whfo, rigid w/o joints",Prosthetics & Orthotic,, $330.53 
L3809,Whfo w/o joints pre ots,Prosthetics & Orthotic,, $220.58 
L3900,Hinge extension/flex wrist/f,Prosthetics & Orthotic,," $1,280.16 "
L3901,Hinge ext/flex wrist finger,Prosthetics & Orthotic,," $1,602.85 "
L3904,Whfo electric custom fitted,Prosthetics & Orthotic,," $2,963.57 "
L3905,Who w/nontorsion jnt(s) cf,Prosthetics & Orthotic,, $871.60 
L3906,Who w/o joints cf,Prosthetics & Orthotic,, $390.63 
L3908,Who cock-up nonmolde pre ots,Prosthetics & Orthotic,, $61.70 
L3912,Hfo flexion glove pre ots,Prosthetics & Orthotic,, $95.94 
L3913,Hfo w/o joints cf,Prosthetics & Orthotic,, $238.04 
L3915,Who nontorsion jnts pre cst,Prosthetics & Orthotic,, $467.20 
L3916,Who nontorsion jnts pre ots,Prosthetics & Orthotic,, $467.20 
L3917,Metacarp fx orthosis pre cst,Prosthetics & Orthotic,, $92.84 
L3918,Metacarp fx orthosis pre ots,Prosthetics & Orthotic,, $92.84 
L3919,Ho w/o joints cf,Prosthetics & Orthotic,, $238.04 
L3921,Hfo w/joint(s) cf,Prosthetics & Orthotic,, $282.30 
L3923,Hfo without joints pre cst,Prosthetics & Orthotic,, $81.69 
L3924,Hfo without joints pre ots,Prosthetics & Orthotic,, $81.69 
L3925,Fo pip dip jnt/sprng pre ots,Prosthetics & Orthotic,, $49.34 
L3927,Fo pip dip no jt spr pre ots,Prosthetics & Orthotic,, $30.74 
L3929,Hfo nontorsion jnts pre cst,Prosthetics & Orthotic,, $78.57 
L3930,Hfo nontorsion jnts pre ots,Prosthetics & Orthotic,, $78.57 
L3931,Whfo nontorsion joint prefab,Prosthetics & Orthotic,, $179.91 
L3933,Fo w/o joints cf,Prosthetics & Orthotic,, $187.52 
L3935,Fo nontorsion joint cf,Prosthetics & Orthotic,, $194.17 
L3956,Add joint upper ext orthosis,Prosthetics & Orthotic,,  $-   
L3960,Sewho airplan desig abdu pos,Prosthetics & Orthotic,, $731.21 
L3961,Sewho cap design w/o jnts cf,Prosthetics & Orthotic,," $1,476.65 "
L3962,Sewho erbs palsey design abd,Prosthetics & Orthotic,, $715.05 
L3967,Sewho airplane w/o jnts cf,Prosthetics & Orthotic,," $1,743.43 "
L3971,Sewho cap design w/jnt(s) cf,Prosthetics & Orthotic,," $1,654.91 "
L3973,Sewho airplane w/jnt(s) cf,Prosthetics & Orthotic,," $1,743.43 "
L3975,Sewhfo cap design w/o jnt cf,Prosthetics & Orthotic,," $1,476.65 "
L3976,Sewhfo airplane w/o jnts cf,Prosthetics & Orthotic,," $1,476.65 "
L3977,Sewhfo cap desgn w/jnt(s) cf,Prosthetics & Orthotic,," $1,654.91 "
L3978,Sewhfo airplane w/jnt(s) cf,Prosthetics & Orthotic,," $1,743.43 "
L3980,Up ext fx orthos humeral nos,Prosthetics & Orthotic,, $330.57 
L3981,Ue fx orth shoul cap forearm,Prosthetics & Orthotic,, $884.88 
L3982,Upper ext fx orthosis rad/ul,Prosthetics & Orthotic,, $385.26 
L3984,Upper ext fx orthosis wrist,Prosthetics & Orthotic,, $344.68 
L3995,Sock fracture or equal each,Prosthetics & Orthotic,, $33.86 
L4000,Repl girdle milwaukee orth,Prosthetics & Orthotic,," $1,294.00 "
L4002,"Replace strap, any orthosis",Prosthetics & Orthotic,,  $-   
L4010,Replace trilateral socket br,Prosthetics & Orthotic,, $693.85 
L4020,Replace quadlat socket brim,Prosthetics & Orthotic,, $885.71 
L4030,Replace socket brim cust fit,Prosthetics & Orthotic,, $530.87 
L4040,Replace molded thigh lacer,Prosthetics & Orthotic,, $425.02 
L4045,Replace non-molded thigh lac,Prosthetics & Orthotic,, $334.09 
L4050,Replace molded calf lacer,Prosthetics & Orthotic,, $435.74 
L4055,Replace non-molded calf lace,Prosthetics & Orthotic,, $272.08 
L4060,Replace high roll cuff,Prosthetics & Orthotic,, $322.52 
L4070,Replace prox & dist upright,Prosthetics & Orthotic,, $295.64 
L4080,Repl met band kafo-afo prox,Prosthetics & Orthotic,, $102.22 
L4090,Repl met band kafo-afo calf/,Prosthetics & Orthotic,, $92.65 
L4100,Repl leath cuff kafo prox th,Prosthetics & Orthotic,, $106.89 
L4110,Repl leath cuff kafo-afo cal,Prosthetics & Orthotic,, $87.80 
L4130,Replace pretibial shell,Prosthetics & Orthotic,, $505.82 
L4350,Ankle control ortho pre ots,Prosthetics & Orthotic,, $92.10 
L4360,Pneumat walking boot pre cst,Prosthetics & Orthotic,, $279.01 
L4361,Pneuma/vac walk boot pre ots,Prosthetics & Orthotic,, $279.01 
L4370,Pneum full leg splnt pre ots,Prosthetics & Orthotic,, $190.64 
L4386,Non-pneum walk boot pre cst,Prosthetics & Orthotic,, $153.11 
